index,date,value
index,2004-12-01,82.6103037167049
index,2004-11-01,83.8591118778556
index,2004-10-01,86.4844297749064
index,2004-09-01,80.6799602588991
index,2004-08-01,80.8376020798345
index,2004-07-01,79.7700843227268
index,2004-06-01,78.3948255987984
index,2004-05-01,79.6792614069198
index,2004-04-01,76.5434715985936
index,2004-03-01,75.4267213343332
index,2004-02-01,72.9606913930652
index,2004-01-01,73.1691802528608
index,2003-12-01,70.5234791175792
index,2003-11-01,67.4059805137133
index,2003-10-01,67.4783288374775
index,2003-09-01,64.5014534129361
index,2003-08-01,64.4238736964299
index,2003-07-01,63.3039713180149
index,2003-06-01,64.3843517879062
index,2003-05-01,63.0659772161954
index,2003-04-01,61.8871994794742
index,2003-03-01,65.782767587809
index,2003-02-01,70.2295140727457
index,2003-01-01,65.1533780787117
index,2002-12-01,.
index,2002-11-01,.
index,2002-10-01,.
index,2002-09-01,.
index,2002-08-01,.
index,2002-07-01,.
index,2002-06-01,.
index,2002-05-01,.
index,2002-04-01,.
index,2002-03-01,.
index,2002-02-01,.
index,2002-01-01,.
index,2001-12-01,.
index,2001-11-01,.
index,2001-10-01,.
index,2001-09-01,.
index,2001-08-01,.
index,2001-07-01,.
index,2001-06-01,.
index,2001-05-01,.
index,2001-04-01,.
index,2001-03-01,.
index,2001-02-01,.
index,2001-01-01,.
index,2000-12-01,.
index,2000-11-01,.
index,2000-10-01,.
index,2000-09-01,.
index,2000-08-01,.
index,2000-07-01,.
index,2000-06-01,.
index,2000-05-01,.
index,2000-04-01,.
index,2000-03-01,.
index,2000-02-01,.
index,2000-01-01,.
index,1999-12-01,.
index,1999-11-01,.
index,1999-10-01,.
index,1999-09-01,.
index,1999-08-01,.
index,1999-07-01,.
index,1999-06-01,.
index,1999-05-01,.
index,1999-04-01,.
index,1999-03-01,.
index,1999-02-01,.
index,1999-01-01,.
index,1998-12-01,.
index,1998-11-01,.
index,1998-10-01,.
index,1998-09-01,.
index,1998-08-01,.
index,1998-07-01,.
index,1998-06-01,.
index,1998-05-01,.
index,1998-04-01,.
index,1998-03-01,.
index,1998-02-01,.
index,1998-01-01,.
index,1997-12-01,.
index,1997-11-01,.
index,1997-10-01,.
index,1997-09-01,.
index,1997-08-01,.
index,1997-07-01,.
index,1997-06-01,.
index,1997-05-01,.
index,1997-04-01,.
index,1997-03-01,.
index,1997-02-01,.
index,1997-01-01,.
index,1996-12-01,.
index,1996-11-01,.
index,1996-10-01,.
index,1996-09-01,.
index,1996-08-01,.
index,1996-07-01,.
index,1996-06-01,.
index,1996-05-01,.
index,1996-04-01,.
index,1996-03-01,.
index,1996-02-01,.
index,1996-01-01,.
index,1995-12-01,.
index,1995-11-01,.
index,1995-10-01,.
index,1995-09-01,.
index,1995-08-01,.
index,1995-07-01,.
index,1995-06-01,.
index,1995-05-01,.
index,1995-04-01,.
index,1995-03-01,.
index,1995-02-01,.
index,1995-01-01,.
index,1994-12-01,.
index,1994-11-01,.
index,1994-10-01,.
index,1994-09-01,.
index,1994-08-01,.
index,1994-07-01,.
index,1994-06-01,.
index,1994-05-01,.
index,1994-04-01,.
index,1994-03-01,.
index,1994-02-01,.
index,1994-01-01,.
index,1993-12-01,.
index,1993-11-01,.
index,1993-10-01,.
index,1993-09-01,.
index,1993-08-01,.
index,1993-07-01,.
index,1993-06-01,.
index,1993-05-01,.
index,1993-04-01,.
index,1993-03-01,.
index,1993-02-01,.
